timestamp,fps,cpu_usage,gpu_usage,frame_time_ms,process_time,physics_time,memory_mb,object_count,node_count,draw_calls,latency_ms,player_count
16053,397.0,17.94,-1.00,2.52,-1.0000,-1.0000,433.39,11971,101,-1,0.3,2
16304,363.6,13.50,-1.00,2.75,-1.0000,-1.0000,433.46,11971,101,-1,0.3,2
16754,2.6,9.25,-1.00,379.51,-1.0000,-1.0000,468.79,11971,101,-1,0.3,2
17002,251.6,11.09,-1.00,3.97,-1.0000,-1.0000,468.93,11971,101,-1,0.3,2
17254,395.4,14.94,-1.00,2.53,-1.0000,-1.0000,468.98,11971,101,-1,0.3,2
17505,601.3,13.98,-1.00,1.66,-1.0000,-1.0000,469.04,11971,101,-1,0.3,2
17756,245.0,11.92,-1.00,4.08,-1.0000,-1.0000,469.08,11971,101,-1,0.3,2
18007,569.7,14.54,-1.00,1.76,-1.0000,-1.0000,469.12,11971,101,-1,0.3,2
18258,600.2,14.56,-1.00,1.67,-1.0000,-1.0000,469.19,11971,101,-1,0.3,2
18508,523.3,13.50,-1.00,1.91,-1.0000,-1.0000,469.24,11971,101,-1,0.3,2
18759,613.9,16.59,-1.00,1.63,-1.0000,-1.0000,469.30,11971,101,-1,0.3,2
19010,556.2,15.11,-1.00,1.80,-1.0000,-1.0000,469.37,11971,101,-1,0.3,2
19262,429.2,17.62,-1.00,2.33,-1.0000,-1.0000,469.42,11971,101,-1,0.3,2
19512,648.4,12.98,-1.00,1.54,-1.0000,-1.0000,469.47,11971,101,-1,0.3,2
19763,571.0,21.24,-1.00,1.75,-1.0000,-1.0000,469.58,11971,101,-1,0.2,2
20013,615.2,19.31,-1.00,1.63,-1.0000,-1.0000,469.66,11971,101,-1,0.2,2
20264,609.5,17.14,-1.00,1.64,-1.0000,-1.0000,469.72,11971,101,-1,0.2,2
20515,557.1,16.60,-1.00,1.79,-1.0000,-1.0000,469.76,11971,101,-1,0.2,2
20766,528.7,20.68,-1.00,1.89,-1.0000,-1.0000,469.92,11971,101,-1,0.2,2
21016,534.6,11.96,-1.00,1.87,-1.0000,-1.0000,469.96,11971,101,-1,0.2,2
21267,554.8,18.14,-1.00,1.80,-1.0000,-1.0000,470.02,11971,101,-1,0.2,2
21518,546.1,23.94,-1.00,1.83,-1.0000,-1.0000,470.08,11971,101,-1,0.2,2
21768,534.3,14.64,-1.00,1.87,-1.0000,-1.0000,470.14,11971,101,-1,0.2,2
22019,506.1,16.55,-1.00,1.98,-1.0000,-1.0000,470.20,11971,101,-1,0.2,2
22270,578.4,16.59,-1.00,1.73,-1.0000,-1.0000,470.27,11971,101,-1,0.2,2
22522,517.6,18.63,-1.00,1.93,-1.0000,-1.0000,470.33,11971,101,-1,0.2,2
22773,534.5,18.15,-1.00,1.87,-1.0000,-1.0000,470.40,11971,101,-1,0.2,2
23024,581.9,16.03,-1.00,1.72,-1.0000,-1.0000,470.45,11971,101,-1,0.2,2
23276,518.9,17.64,-1.00,1.93,-1.0000,-1.0000,470.51,11971,101,-1,0.2,2
23527,589.9,16.00,-1.00,1.70,-1.0000,-1.0000,470.57,11971,101,-1,0.2,2
23778,564.7,13.53,-1.00,1.77,-1.0000,-1.0000,470.63,11971,101,-1,0.2,2
24030,232.7,11.88,-1.00,4.30,-1.0000,-1.0000,470.66,11971,101,-1,0.2,2
24281,556.5,18.63,-1.00,1.80,-1.0000,-1.0000,470.72,11971,101,-1,0.2,2
24532,507.0,6.77,-1.00,1.97,-1.0000,-1.0000,470.76,11971,101,-1,0.2,2
24783,606.8,13.55,-1.00,1.65,-1.0000,-1.0000,470.80,11971,101,-1,0.2,2
25034,482.5,15.99,-1.00,2.07,-1.0000,-1.0000,470.85,11971,101,-1,0.2,2
25285,524.4,12.44,-1.00,1.91,-1.0000,-1.0000,470.90,11971,101,-1,0.2,2
25537,512.5,16.04,-1.00,1.95,-1.0000,-1.0000,470.95,11971,101,-1,0.2,2
25788,560.5,15.58,-1.00,1.78,-1.0000,-1.0000,471.03,11971,101,-1,0.2,2
26038,461.3,14.06,-1.00,2.17,-1.0000,-1.0000,471.10,11983,103,-1,0.2,2
26290,500.3,19.08,-1.00,2.00,-1.0000,-1.0000,471.16,11983,103,-1,0.2,2
26540,460.5,15.61,-1.00,2.17,-1.0000,-1.0000,471.22,11983,103,-1,0.2,2
26791,442.3,15.08,-1.00,2.26,-1.0000,-1.0000,471.16,11983,103,-1,0.2,2
27041,416.0,15.07,-1.00,2.40,-1.0000,-1.0000,471.22,11983,103,-1,0.2,2
27293,569.0,17.07,-1.00,1.76,-1.0000,-1.0000,471.28,11983,103,-1,0.2,2
27544,523.9,15.03,-1.00,1.91,-1.0000,-1.0000,471.33,11983,103,-1,0.2,2
27795,550.3,18.73,-1.00,1.82,-1.0000,-1.0000,471.39,11983,103,-1,0.2,2
28046,524.8,12.94,-1.00,1.91,-1.0000,-1.0000,471.45,11983,103,-1,0.2,2
28296,557.6,15.16,-1.00,1.79,-1.0000,-1.0000,468.77,11983,103,-1,0.2,2
28547,500.0,18.13,-1.00,2.00,-1.0000,-1.0000,468.81,11983,103,-1,0.2,2
28799,484.4,15.99,-1.00,2.06,-1.0000,-1.0000,468.87,11983,103,-1,0.2,2
29050,515.0,19.22,-1.00,1.94,-1.0000,-1.0000,468.93,11983,103,-1,0.2,2
