timestamp,fps,cpu_usage,gpu_usage,frame_time_ms,process_time,physics_time,memory_mb,object_count,node_count,draw_calls,latency_ms
19409,2.6,0.00,-1.00,389.53,-1.0000,-1.0000,470.06,144,41,-1,N/A
19533,2.1,3.96,-1.00,477.10,-1.0000,-1.0000,499.94,144,41,-1,N/A
19784,608.1,0.00,-1.00,1.64,-1.0000,-1.0000,500.10,144,41,-1,N/A
20035,598.4,3.49,-1.00,1.67,-1.0000,-1.0000,500.30,144,41,-1,N/A
20286,665.0,4.28,-1.00,1.50,-1.0000,-1.0000,500.40,144,41,-1,N/A
20536,580.4,3.12,-1.00,1.72,-1.0000,-1.0000,473.21,144,41,-1,N/A
20786,668.8,3.52,-1.00,1.50,-1.0000,-1.0000,473.32,144,41,-1,N/A
21037,673.6,4.29,-1.00,1.48,-1.0000,-1.0000,473.43,144,41,-1,N/A
21287,607.2,3.90,-1.00,1.65,-1.0000,-1.0000,473.53,144,41,-1,N/A
21538,652.1,3.51,-1.00,1.53,-1.0000,-1.0000,473.64,144,41,-1,N/A
21789,584.2,4.66,-1.00,1.71,-1.0000,-1.0000,473.75,144,41,-1,N/A
22040,579.9,4.67,-1.00,1.72,-1.0000,-1.0000,473.86,144,41,-1,N/A
22290,638.4,4.68,-1.00,1.57,-1.0000,-1.0000,473.95,144,41,-1,N/A
22540,660.2,3.50,-1.00,1.51,-1.0000,-1.0000,474.06,144,41,-1,N/A
22791,648.7,3.13,-1.00,1.54,-1.0000,-1.0000,474.17,144,41,-1,N/A
23041,618.5,4.68,-1.00,1.62,-1.0000,-1.0000,474.27,144,41,-1,N/A
23292,678.2,3.90,-1.00,1.47,-1.0000,-1.0000,474.38,144,41,-1,N/A
23542,501.5,2.72,-1.00,1.99,-1.0000,-1.0000,474.48,144,41,-1,N/A
23793,639.6,0.78,-1.00,1.56,-1.0000,-1.0000,474.59,144,41,-1,N/A
24044,669.2,2.72,-1.00,1.49,-1.0000,-1.0000,474.78,144,41,-1,N/A
24294,620.4,2.74,-1.00,1.61,-1.0000,-1.0000,474.88,144,41,-1,N/A
24546,596.4,2.33,-1.00,1.68,-1.0000,-1.0000,475.03,144,41,-1,N/A
24796,627.7,2.73,-1.00,1.59,-1.0000,-1.0000,475.13,144,41,-1,N/A
25046,664.3,1.96,-1.00,1.51,-1.0000,-1.0000,475.24,144,41,-1,N/A
25296,621.8,2.73,-1.00,1.61,-1.0000,-1.0000,475.45,144,41,-1,N/A
25547,581.9,3.89,-1.00,1.72,-1.0000,-1.0000,475.55,144,41,-1,N/A
25797,662.3,3.13,-1.00,1.51,-1.0000,-1.0000,475.66,144,41,-1,N/A
26048,645.1,2.72,-1.00,1.55,-1.0000,-1.0000,475.76,144,41,-1,N/A
26298,605.3,3.52,-1.00,1.65,-1.0000,-1.0000,475.86,144,41,-1,N/A
26549,659.1,3.11,-1.00,1.52,-1.0000,-1.0000,475.97,144,41,-1,N/A
26799,657.5,3.92,-1.00,1.52,-1.0000,-1.0000,476.07,144,41,-1,N/A
27050,570.3,3.87,-1.00,1.75,-1.0000,-1.0000,476.27,152,44,-1,N/A
27302,649.9,2.73,-1.00,1.54,-1.0000,-1.0000,476.37,152,44,-1,N/A
27553,602.4,1.55,-1.00,1.66,-1.0000,-1.0000,476.47,152,44,-1,N/A
27803,393.7,1.56,-1.00,2.54,-1.0000,-1.0000,476.57,152,44,-1,N/A
28054,628.5,3.11,-1.00,1.59,-1.0000,-1.0000,476.68,152,44,-1,N/A
28304,618.3,1.56,-1.00,1.62,-1.0000,-1.0000,476.78,152,44,-1,N/A
28555,584.3,0.78,-1.00,1.71,-1.0000,-1.0000,476.89,152,44,-1,N/A
28805,624.3,1.17,-1.00,1.60,-1.0000,-1.0000,476.99,152,44,-1,N/A
29056,619.2,1.94,-1.00,1.61,-1.0000,-1.0000,477.11,153,43,-1,N/A
29307,665.1,1.94,-1.00,1.50,-1.0000,-1.0000,477.22,153,43,-1,N/A
29559,427.1,1.94,-1.00,2.34,-1.0000,-1.0000,477.36,153,43,-1,N/A
29810,621.2,2.72,-1.00,1.61,-1.0000,-1.0000,477.47,153,43,-1,N/A
30061,590.5,2.72,-1.00,1.69,-1.0000,-1.0000,477.53,153,43,-1,N/A
30313,653.6,2.72,-1.00,1.53,-1.0000,-1.0000,477.63,153,43,-1,N/A
30564,629.5,1.95,-1.00,1.59,-1.0000,-1.0000,477.73,153,43,-1,N/A
30815,589.8,3.10,-1.00,1.70,-1.0000,-1.0000,477.84,153,43,-1,N/A
31066,599.4,1.95,-1.00,1.67,-1.0000,-1.0000,477.95,153,43,-1,N/A
31316,629.7,1.95,-1.00,1.59,-1.0000,-1.0000,478.05,161,46,-1,N/A
31566,617.7,3.51,-1.00,1.62,-1.0000,-1.0000,478.16,161,46,-1,N/A
31817,650.2,0.78,-1.00,1.54,-1.0000,-1.0000,478.27,161,46,-1,N/A
32068,635.3,0.78,-1.00,1.57,-1.0000,-1.0000,478.37,161,46,-1,N/A
32318,575.1,1.17,-1.00,1.74,-1.0000,-1.0000,478.47,161,46,-1,N/A
32569,642.4,2.73,-1.00,1.56,-1.0000,-1.0000,478.58,161,46,-1,N/A
32820,675.0,1.16,-1.00,1.48,-1.0000,-1.0000,478.69,161,46,-1,N/A
33071,610.3,1.95,-1.00,1.64,-1.0000,-1.0000,478.79,161,46,-1,N/A
33322,565.8,1.56,-1.00,1.77,-1.0000,-1.0000,478.90,153,43,-1,N/A
33573,591.9,4.28,-1.00,1.69,-1.0000,-1.0000,479.01,153,43,-1,N/A
33824,652.4,1.56,-1.00,1.53,-1.0000,-1.0000,479.12,153,43,-1,N/A
34075,677.3,4.66,-1.00,1.48,-1.0000,-1.0000,479.22,153,43,-1,N/A
34325,585.2,3.52,-1.00,1.71,-1.0000,-1.0000,479.33,153,43,-1,N/A
34576,654.9,3.11,-1.00,1.53,-1.0000,-1.0000,479.43,153,43,-1,N/A
34826,639.9,3.51,-1.00,1.56,-1.0000,-1.0000,479.54,153,43,-1,N/A
35078,501.2,5.44,-1.00,2.00,-1.0000,-1.0000,479.64,153,43,-1,N/A
