timestamp,fps,cpu_usage,gpu_usage,frame_time_ms,process_time,physics_time,memory_mb,object_count,node_count,draw_calls,latency_ms
19168,2.6,5.69,-1.00,392.11,-1.0000,-1.0000,495.86,37455,2841,-1,N/A
19283,1.0,5.93,-1.00,964.92,-1.0000,-1.0000,495.39,37463,2841,-1,N/A
19537,227.5,3.47,-1.00,4.40,-1.0000,-1.0000,496.00,37463,2841,-1,N/A
19789,237.3,4.64,-1.00,4.21,-1.0000,-1.0000,496.04,37463,2841,-1,N/A
20042,159.0,2.32,-1.00,6.29,-1.0000,-1.0000,496.09,37463,2841,-1,N/A
20294,206.0,1.94,-1.00,4.85,-1.0000,-1.0000,496.12,37463,2841,-1,N/A
20547,262.5,4.63,-1.00,3.81,-1.0000,-1.0000,496.16,37463,2841,-1,N/A
20800,185.6,2.31,-1.00,5.39,-1.0000,-1.0000,496.19,37463,2841,-1,N/A
21050,241.8,2.35,-1.00,4.14,-1.0000,-1.0000,496.23,37463,2841,-1,N/A
21301,175.1,1.94,-1.00,5.71,-1.0000,-1.0000,496.26,37463,2841,-1,N/A
21553,220.3,1.16,-1.00,4.54,-1.0000,-1.0000,496.29,37463,2841,-1,N/A
21822,6.5,3.64,-1.00,153.28,-1.0000,-1.0000,496.54,37466,2841,-1,N/A
22069,246.0,2.36,-1.00,4.07,-1.0000,-1.0000,497.54,37468,2841,-1,N/A
22320,198.0,1.95,-1.00,5.05,-1.0000,-1.0000,497.58,37468,2841,-1,N/A
22572,245.4,3.10,-1.00,4.08,-1.0000,-1.0000,497.61,37468,2841,-1,N/A
22824,196.6,1.94,-1.00,5.09,-1.0000,-1.0000,497.65,37468,2841,-1,N/A
23074,238.5,1.17,-1.00,4.19,-1.0000,-1.0000,497.68,37468,2841,-1,N/A
23325,142.9,2.72,-1.00,7.00,-1.0000,-1.0000,497.72,37468,2841,-1,N/A
23578,257.0,3.10,-1.00,3.89,-1.0000,-1.0000,497.75,37468,2841,-1,N/A
23831,243.1,1.93,-1.00,4.11,-1.0000,-1.0000,497.79,37468,2841,-1,N/A
24082,193.2,3.49,-1.00,5.17,-1.0000,-1.0000,497.83,37468,2841,-1,N/A
24337,242.5,2.30,-1.00,4.12,-1.0000,-1.0000,497.86,37468,2841,-1,N/A
24590,237.9,1.54,-1.00,4.20,-1.0000,-1.0000,497.90,37468,2841,-1,N/A
24844,249.9,2.70,-1.00,4.00,-1.0000,-1.0000,525.50,37472,2841,-1,N/A
25095,240.7,3.12,-1.00,4.15,-1.0000,-1.0000,525.54,37472,2841,-1,N/A
