timestamp,fps,cpu_usage,gpu_usage,frame_time_ms,process_time,physics_time,memory_mb,object_count,node_count,draw_calls,latency_ms
23704,547.3,14.36,-1.00,1.83,-1.0000,-1.0000,435.09,12681,102,-1,0.0
24192,98.4,13.33,-1.00,10.16,-1.0000,-1.0000,444.94,22441,1188,-1,0.0
24370,2.5,8.07,-1.00,401.02,-1.0000,-1.0000,449.60,22441,1188,-1,0.0
24866,2.8,8.38,-1.00,355.85,-1.0000,-1.0000,485.61,22441,1188,-1,0.0
25107,371.7,13.01,-1.00,2.69,-1.0000,-1.0000,485.79,22441,1188,-1,0.0
25357,376.3,11.98,-1.00,2.66,-1.0000,-1.0000,486.09,22441,1188,-1,0.0
25609,308.4,10.87,-1.00,3.24,-1.0000,-1.0000,486.30,22441,1188,-1,0.0
25859,364.1,14.59,-1.00,2.75,-1.0000,-1.0000,486.40,22441,1188,-1,0.0
26109,363.3,11.98,-1.00,2.75,-1.0000,-1.0000,486.50,22441,1188,-1,0.0
26362,307.2,13.82,-1.00,3.26,-1.0000,-1.0000,486.60,22441,1188,-1,0.0
26614,262.3,10.90,-1.00,3.81,-1.0000,-1.0000,486.80,22441,1188,-1,0.0
26866,294.7,18.08,-1.00,3.39,-1.0000,-1.0000,486.91,22441,1188,-1,0.0
27118,356.6,16.99,-1.00,2.80,-1.0000,-1.0000,487.01,22441,1188,-1,0.0
27371,283.7,12.37,-1.00,3.53,-1.0000,-1.0000,487.12,22441,1188,-1,0.0
27623,201.0,10.35,-1.00,4.97,-1.0000,-1.0000,487.27,22441,1188,-1,0.0
27873,343.8,12.48,-1.00,2.91,-1.0000,-1.0000,487.40,22441,1188,-1,0.0
28133,66.6,10.50,-1.00,15.02,-1.0000,-1.0000,487.48,22441,1188,-1,0.0
28384,298.6,14.02,-1.00,3.35,-1.0000,-1.0000,487.59,22441,1188,-1,0.0
28636,268.2,14.00,-1.00,3.73,-1.0000,-1.0000,487.76,22441,1188,-1,0.0
28887,317.9,18.61,-1.00,3.15,-1.0000,-1.0000,487.90,22441,1188,-1,0.0
29140,356.7,10.32,-1.00,2.80,-1.0000,-1.0000,488.01,22441,1188,-1,0.0
29390,348.6,11.48,-1.00,2.87,-1.0000,-1.0000,488.03,22441,1188,-1,0.0
29641,347.5,10.87,-1.00,2.88,-1.0000,-1.0000,488.20,22441,1188,-1,0.0
29893,308.6,8.78,-1.00,3.24,-1.0000,-1.0000,488.31,22441,1188,-1,0.0
30146,310.0,10.27,-1.00,3.23,-1.0000,-1.0000,488.45,22441,1188,-1,0.0
30396,361.1,18.22,-1.00,2.77,-1.0000,-1.0000,488.55,22441,1188,-1,0.0
30647,346.7,13.47,-1.00,2.88,-1.0000,-1.0000,488.73,22441,1188,-1,0.0
30897,375.4,15.65,-1.00,2.66,-1.0000,-1.0000,488.84,22441,1188,-1,0.0
31148,377.5,11.96,-1.00,2.65,-1.0000,-1.0000,488.94,22441,1188,-1,0.0
31400,368.1,12.95,-1.00,2.72,-1.0000,-1.0000,489.08,22441,1188,-1,0.0
31650,346.9,13.50,-1.00,2.88,-1.0000,-1.0000,489.24,22441,1188,-1,0.0
31901,357.4,14.49,-1.00,2.80,-1.0000,-1.0000,489.35,22441,1188,-1,0.0
32152,405.6,15.11,-1.00,2.47,-1.0000,-1.0000,489.45,22441,1188,-1,0.0
32404,265.6,10.80,-1.00,3.77,-1.0000,-1.0000,489.59,22441,1188,-1,0.0
32659,183.8,13.33,-1.00,5.44,-1.0000,-1.0000,489.76,22441,1188,-1,0.0
32913,167.4,16.39,-1.00,5.97,-1.0000,-1.0000,489.84,22441,1188,-1,0.0
33166,267.5,16.98,-1.00,3.74,-1.0000,-1.0000,489.93,22441,1188,-1,0.0
33417,329.7,13.47,-1.00,3.03,-1.0000,-1.0000,490.03,22441,1188,-1,0.0
33668,347.6,10.90,-1.00,2.88,-1.0000,-1.0000,490.22,22441,1188,-1,0.0
33921,296.9,10.80,-1.00,3.37,-1.0000,-1.0000,490.33,22441,1188,-1,0.0
34172,212.0,14.55,-1.00,4.72,-1.0000,-1.0000,490.42,22441,1188,-1,0.0
34430,113.8,14.62,-1.00,8.78,-1.0000,-1.0000,490.59,22441,1188,-1,0.0
34680,363.6,21.87,-1.00,2.75,-1.0000,-1.0000,490.71,22441,1188,-1,0.0
34931,394.3,14.49,-1.00,2.54,-1.0000,-1.0000,490.81,22441,1188,-1,0.0
35184,320.5,12.42,-1.00,3.12,-1.0000,-1.0000,490.91,22441,1188,-1,0.0
35435,325.9,17.10,-1.00,3.07,-1.0000,-1.0000,491.08,22441,1188,-1,0.0
35686,298.4,15.58,-1.00,3.35,-1.0000,-1.0000,491.17,22441,1188,-1,0.0
35939,315.6,13.34,-1.00,3.17,-1.0000,-1.0000,491.31,22441,1188,-1,0.0
36191,247.5,20.67,-1.00,4.04,-1.0000,-1.0000,491.41,22441,1188,-1,0.0
36443,357.5,16.53,-1.00,2.80,-1.0000,-1.0000,491.59,22441,1188,-1,0.0
36694,392.0,11.37,-1.00,2.55,-1.0000,-1.0000,491.68,22441,1188,-1,0.0
36947,361.3,13.48,-1.00,2.77,-1.0000,-1.0000,491.78,22441,1188,-1,0.0
