timestamp,fps,cpu_usage,gpu_usage,frame_time_ms,process_time,physics_time,memory_mb,object_count,node_count,draw_calls,latency_ms
27256,3.0,22.38,-1.00,334.31,-1.0000,-1.0000,439.77,12730,101,-1,0.0
27487,442.4,16.95,-1.00,2.26,-1.0000,-1.0000,437.27,12733,102,-1,0.0
27738,568.5,19.21,-1.00,1.76,-1.0000,-1.0000,437.39,12733,102,-1,0.0
28772,1.0,8.55,-1.00,965.69,-1.0000,-1.0000,474.97,37658,2873,-1,0.0
29252,2.7,8.97,-1.00,369.04,-1.0000,-1.0000,510.88,37658,2873,-1,0.0
29478,180.0,15.56,-1.00,5.56,-1.0000,-1.0000,511.09,37658,2873,-1,0.0
29730,201.8,9.32,-1.00,4.96,-1.0000,-1.0000,511.40,37658,2873,-1,0.0
29982,204.9,10.33,-1.00,4.88,-1.0000,-1.0000,511.91,37658,2873,-1,0.0
30230,202.5,19.36,-1.00,4.94,-1.0000,-1.0000,511.96,37658,2873,-1,0.0
30486,158.5,9.67,-1.00,6.31,-1.0000,-1.0000,512.05,37658,2873,-1,0.0
30744,150.7,13.12,-1.00,6.64,-1.0000,-1.0000,512.13,37658,2873,-1,0.0
30994,172.9,13.53,-1.00,5.78,-1.0000,-1.0000,512.43,37658,2873,-1,0.0
31245,125.4,10.94,-1.00,7.97,-1.0000,-1.0000,512.51,37658,2873,-1,0.0
31499,214.8,11.25,-1.00,4.65,-1.0000,-1.0000,512.59,37658,2873,-1,0.0
31751,208.4,12.91,-1.00,4.80,-1.0000,-1.0000,512.67,37658,2873,-1,0.0
32007,137.0,12.21,-1.00,7.30,-1.0000,-1.0000,512.96,37658,2873,-1,0.0
32259,159.1,12.92,-1.00,6.29,-1.0000,-1.0000,512.66,37658,2873,-1,0.0
32509,109.0,9.40,-1.00,9.17,-1.0000,-1.0000,512.74,37658,2873,-1,0.0
32764,166.8,9.16,-1.00,6.00,-1.0000,-1.0000,512.83,37658,2873,-1,0.0
33020,176.1,14.74,-1.00,5.68,-1.0000,-1.0000,513.12,37658,2873,-1,0.0
33271,189.7,14.58,-1.00,5.27,-1.0000,-1.0000,513.21,37658,2873,-1,0.0
33527,123.5,10.13,-1.00,8.10,-1.0000,-1.0000,513.30,37658,2873,-1,0.0
33782,200.2,10.22,-1.00,4.99,-1.0000,-1.0000,513.41,37658,2873,-1,0.0
34032,189.7,11.48,-1.00,5.27,-1.0000,-1.0000,513.67,37658,2873,-1,0.0
34285,164.4,14.91,-1.00,6.08,-1.0000,-1.0000,513.75,37658,2873,-1,0.0
34536,105.6,9.86,-1.00,9.47,-1.0000,-1.0000,513.87,37658,2873,-1,0.0
34809,56.4,12.40,-1.00,17.73,-1.0000,-1.0000,514.14,37658,2873,-1,0.0
35059,172.2,11.45,-1.00,5.81,-1.0000,-1.0000,514.22,37658,2873,-1,0.0
35311,249.7,14.48,-1.00,4.01,-1.0000,-1.0000,514.33,37658,2873,-1,0.0
35563,176.8,10.36,-1.00,5.66,-1.0000,-1.0000,514.42,37658,2873,-1,0.0
35824,55.0,8.46,-1.00,18.17,-1.0000,-1.0000,514.63,37658,2873,-1,0.0
36072,175.4,14.24,-1.00,5.70,-1.0000,-1.0000,514.76,37658,2873,-1,0.0
36326,146.2,12.81,-1.00,6.84,-1.0000,-1.0000,514.88,37658,2873,-1,0.0
36579,201.6,11.32,-1.00,4.96,-1.0000,-1.0000,514.96,37658,2873,-1,0.0
36833,94.7,16.97,-1.00,10.56,-1.0000,-1.0000,515.22,37658,2873,-1,0.0
37085,185.3,17.95,-1.00,5.40,-1.0000,-1.0000,515.32,37658,2873,-1,0.0
37340,185.3,10.25,-1.00,5.40,-1.0000,-1.0000,515.41,37658,2873,-1,0.0
37598,121.1,13.09,-1.00,8.26,-1.0000,-1.0000,515.50,37658,2873,-1,0.0
37848,170.1,10.94,-1.00,5.88,-1.0000,-1.0000,515.79,37658,2873,-1,0.0
38103,180.2,11.76,-1.00,5.55,-1.0000,-1.0000,515.87,37658,2873,-1,0.0
