timestamp,fps,cpu_usage,gpu_usage,frame_time_ms,process_time,physics_time,memory_mb,object_count,node_count,draw_calls,latency_ms
8324,2.3,8.87,-1.00,428.60,-1.0000,-1.0000,445.94,11677,73,-1,1.1
8557,640.8,12.34,-1.00,1.56,-1.0000,-1.0000,441.92,11677,73,-1,1.1
8810,301.3,13.91,-1.00,3.32,-1.0000,-1.0000,441.99,11677,73,-1,0.9
9060,455.9,21.88,-1.00,2.19,-1.0000,-1.0000,442.04,11677,73,-1,0.9
9620,2.8,10.93,-1.00,355.47,-1.0000,-1.0000,477.52,11677,73,-1,0.8
9871,640.0,17.62,-1.00,1.56,-1.0000,-1.0000,477.59,11677,73,-1,0.8
10123,392.4,17.04,-1.00,2.55,-1.0000,-1.0000,477.67,11677,73,-1,0.7
10373,660.7,15.16,-1.00,1.51,-1.0000,-1.0000,477.74,11677,73,-1,0.7
10624,335.8,14.47,-1.00,2.98,-1.0000,-1.0000,477.80,11677,73,-1,0.6
10875,610.1,15.56,-1.00,1.64,-1.0000,-1.0000,477.86,11677,73,-1,0.6
11126,645.4,19.81,-1.00,1.55,-1.0000,-1.0000,477.93,11677,73,-1,0.6
11377,674.6,16.52,-1.00,1.48,-1.0000,-1.0000,478.00,11677,73,-1,0.6
11627,589.1,17.74,-1.00,1.70,-1.0000,-1.0000,478.07,11677,73,-1,0.5
11878,718.0,16.55,-1.00,1.39,-1.0000,-1.0000,478.15,11677,73,-1,0.5
12129,596.6,16.09,-1.00,1.68,-1.0000,-1.0000,478.31,11677,73,-1,0.5
12379,558.2,16.16,-1.00,1.79,-1.0000,-1.0000,478.38,11677,73,-1,0.5
12630,649.2,15.59,-1.00,1.54,-1.0000,-1.0000,478.45,11677,73,-1,0.4
12880,663.6,16.66,-1.00,1.51,-1.0000,-1.0000,478.52,11677,73,-1,0.4
13131,583.9,20.79,-1.00,1.71,-1.0000,-1.0000,478.59,11677,73,-1,0.4
13382,689.8,13.99,-1.00,1.45,-1.0000,-1.0000,478.66,11677,73,-1,0.4
13632,647.4,17.20,-1.00,1.54,-1.0000,-1.0000,478.73,11677,73,-1,0.4
13882,547.4,21.80,-1.00,1.83,-1.0000,-1.0000,478.81,11677,73,-1,0.4
14133,447.5,12.50,-1.00,2.23,-1.0000,-1.0000,478.87,11677,73,-1,0.4
14384,651.2,15.00,-1.00,1.54,-1.0000,-1.0000,478.94,11677,73,-1,0.4
14635,642.9,11.93,-1.00,1.56,-1.0000,-1.0000,479.02,11677,73,-1,0.3
14885,625.7,17.73,-1.00,1.60,-1.0000,-1.0000,479.09,11677,73,-1,0.3
15135,577.0,14.57,-1.00,1.73,-1.0000,-1.0000,479.17,11677,73,-1,0.3
15385,661.0,11.95,-1.00,1.51,-1.0000,-1.0000,479.24,11677,73,-1,0.3
15636,666.1,18.19,-1.00,1.50,-1.0000,-1.0000,479.31,11677,73,-1,0.3
15887,651.9,17.64,-1.00,1.53,-1.0000,-1.0000,479.46,11677,73,-1,0.3
16138,584.2,16.11,-1.00,1.71,-1.0000,-1.0000,479.54,11677,73,-1,0.3
16389,650.9,17.63,-1.00,1.54,-1.0000,-1.0000,479.61,11677,73,-1,0.3
16640,616.7,15.55,-1.00,1.62,-1.0000,-1.0000,479.68,11677,73,-1,0.3
16891,679.8,13.52,-1.00,1.47,-1.0000,-1.0000,479.86,11677,73,-1,0.3
17142,575.1,16.58,-1.00,1.74,-1.0000,-1.0000,479.93,11677,73,-1,0.3
17392,704.5,16.68,-1.00,1.42,-1.0000,-1.0000,480.00,11677,73,-1,0.3
17642,698.3,16.16,-1.00,1.43,-1.0000,-1.0000,480.07,11677,73,-1,0.3
17892,680.1,18.16,-1.00,1.47,-1.0000,-1.0000,480.19,11677,73,-1,0.3
18143,635.6,18.20,-1.00,1.57,-1.0000,-1.0000,480.26,11677,73,-1,0.2
18395,427.8,14.47,-1.00,2.34,-1.0000,-1.0000,480.36,11689,75,-1,0.2
18645,187.8,12.98,-1.00,5.33,-1.0000,-1.0000,480.42,11689,75,-1,0.2
18896,623.2,15.62,-1.00,1.60,-1.0000,-1.0000,477.71,11689,75,-1,0.2
19146,641.0,19.21,-1.00,1.56,-1.0000,-1.0000,477.78,11689,75,-1,0.2
19398,617.2,16.60,-1.00,1.62,-1.0000,-1.0000,477.85,11689,75,-1,0.2
19649,686.2,14.47,-1.00,1.46,-1.0000,-1.0000,477.93,11689,75,-1,0.2
19900,608.2,21.28,-1.00,1.64,-1.0000,-1.0000,478.00,11689,75,-1,0.2
20150,685.7,21.42,-1.00,1.46,-1.0000,-1.0000,478.07,11689,75,-1,0.2
20401,599.5,14.51,-1.00,1.67,-1.0000,-1.0000,478.14,11689,75,-1,0.2
20651,668.2,16.66,-1.00,1.50,-1.0000,-1.0000,478.21,11689,75,-1,0.2
20903,668.6,17.61,-1.00,1.50,-1.0000,-1.0000,478.28,11689,75,-1,0.2
21153,642.7,23.38,-1.00,1.56,-1.0000,-1.0000,478.35,11689,75,-1,0.2
21404,622.2,12.95,-1.00,1.61,-1.0000,-1.0000,478.43,11689,75,-1,0.2
