timestamp,fps,cpu_usage,gpu_usage,frame_time_ms,process_time,physics_time,memory_mb,object_count,node_count,draw_calls,latency_ms
15409,2,1,14,40,22,00,473,37,-1,0000,-1,0000,457,08,144,41,-1,N/A
15596,2,0,6,26,22,00,492,87,-1,0000,-1,0000,456,99,144,41,-1,N/A
15846,338,7,14,06,22,00,2,95,-1,0000,-1,0000,457,03,144,41,-1,N/A
16099,324,2,11,89,16,00,3,08,-1,0000,-1,0000,457,06,144,41,-1,N/A
16351,422,9,15,45,16,00,2,36,-1,0000,-1,0000,457,07,144,41,-1,N/A
16602,352,5,12,47,16,00,2,84,-1,0000,-1,0000,457,11,144,41,-1,N/A
16854,415,9,8,77,16,00,2,40,-1,0000,-1,0000,457,14,144,41,-1,N/A
17105,391,9,18,15,37,00,2,55,-1,0000,-1,0000,457,17,144,41,-1,N/A
17357,421,3,12,97,37,00,2,37,-1,0000,-1,0000,457,21,144,41,-1,N/A
17609,413,2,15,42,37,00,2,42,-1,0000,-1,0000,457,24,144,41,-1,N/A
17859,409,6,15,61,37,00,2,44,-1,0000,-1,0000,457,28,144,41,-1,N/A
18110,410,8,18,72,36,00,2,43,-1,0000,-1,0000,457,32,144,41,-1,N/A
18361,353,3,13,54,36,00,2,83,-1,0000,-1,0000,457,35,144,41,-1,N/A
18612,426,1,17,06,36,00,2,35,-1,0000,-1,0000,457,38,144,41,-1,N/A
18862,379,6,15,64,36,00,2,63,-1,0000,-1,0000,457,41,144,41,-1,N/A
19115,414,7,11,88,34,00,2,41,-1,0000,-1,0000,457,45,144,41,-1,N/A
19366,408,0,18,58,34,00,2,45,-1,0000,-1,0000,457,48,144,41,-1,N/A
19617,401,8,12,98,34,00,2,49,-1,0000,-1,0000,457,52,144,41,-1,N/A
19868,415,2,16,14,34,00,2,41,-1,0000,-1,0000,457,55,144,41,-1,N/A
20119,401,1,12,44,35,00,2,49,-1,0000,-1,0000,457,59,144,41,-1,N/A
20370,408,9,13,47,35,00,2,45,-1,0000,-1,0000,457,62,144,41,-1,N/A
20620,352,9,11,93,35,00,2,83,-1,0000,-1,0000,457,66,144,41,-1,N/A
20872,395,6,14,53,35,00,2,53,-1,0000,-1,0000,457,69,144,41,-1,N/A
21124,333,6,12,36,34,00,3,00,-1,0000,-1,0000,457,73,144,41,-1,N/A
21374,357,3,14,59,34,00,2,80,-1,0000,-1,0000,457,76,144,41,-1,N/A
21627,404,5,16,55,34,00,2,47,-1,0000,-1,0000,457,79,144,41,-1,N/A
21879,350,1,21,62,34,00,2,86,-1,0000,-1,0000,457,83,144,41,-1,N/A
22131,344,3,11,42,26,00,2,90,-1,0000,-1,0000,457,86,144,41,-1,N/A
22382,386,4,13,43,26,00,2,59,-1,0000,-1,0000,457,90,144,41,-1,N/A
22633,425,0,15,04,26,00,2,35,-1,0000,-1,0000,457,93,144,41,-1,N/A
22886,409,9,12,35,26,00,2,44,-1,0000,-1,0000,457,96,144,41,-1,N/A
23138,405,4,14,50,29,00,2,47,-1,0000,-1,0000,457,99,144,41,-1,N/A
23389,311,9,12,96,29,00,3,21,-1,0000,-1,0000,458,03,144,41,-1,N/A
23640,403,5,10,88,29,00,2,48,-1,0000,-1,0000,458,06,144,41,-1,N/A
23892,383,8,10,87,29,00,2,61,-1,0000,-1,0000,458,09,144,41,-1,N/A
24144,356,1,14,52,37,00,2,81,-1,0000,-1,0000,458,13,144,41,-1,N/A
24394,321,9,23,80,37,00,3,11,-1,0000,-1,0000,458,16,144,41,-1,N/A
24645,351,7,15,57,37,00,2,84,-1,0000,-1,0000,458,20,144,41,-1,N/A
24896,408,2,12,48,37,00,2,45,-1,0000,-1,0000,458,23,144,41,-1,N/A
25146,405,7,11,42,34,00,2,47,-1,0000,-1,0000,458,29,153,43,-1,N/A
