timestamp,fps,cpu_usage,gpu_usage,frame_time_ms,process_time,physics_time,memory_mb,object_count,node_count,draw_calls,latency_ms
15470,2.8,0.00,-1.00,362.78,-1.0000,-1.0000,461.69,144,41,-1,N/A
15549,2.5,13.24,-1.00,397.13,-1.0000,-1.0000,464.20,144,41,-1,N/A
15800,733.9,11.42,-1.00,1.36,-1.0000,-1.0000,464.28,144,41,-1,N/A
16050,775.4,18.78,-1.00,1.29,-1.0000,-1.0000,464.45,144,41,-1,N/A
16301,806.4,15.57,-1.00,1.24,-1.0000,-1.0000,464.49,144,41,-1,N/A
16552,647.5,12.94,-1.00,1.54,-1.0000,-1.0000,464.57,144,41,-1,N/A
16803,672.1,15.57,-1.00,1.49,-1.0000,-1.0000,464.74,152,44,-1,N/A
17054,588.6,13.49,-1.00,1.70,-1.0000,-1.0000,464.81,152,44,-1,N/A
17305,641.5,18.65,-1.00,1.56,-1.0000,-1.0000,464.88,152,44,-1,N/A
17556,720.9,20.81,-1.00,1.39,-1.0000,-1.0000,464.95,152,44,-1,N/A
17808,549.6,16.51,-1.00,1.82,-1.0000,-1.0000,465.02,152,44,-1,N/A
18059,577.5,15.56,-1.00,1.73,-1.0000,-1.0000,465.10,152,44,-1,N/A
18310,650.8,17.17,-1.00,1.54,-1.0000,-1.0000,465.17,152,44,-1,N/A
18561,538.1,18.62,-1.00,1.86,-1.0000,-1.0000,465.25,152,44,-1,N/A
18811,710.9,19.84,-1.00,1.41,-1.0000,-1.0000,465.33,144,41,-1,N/A
19061,796.6,28.61,-1.00,1.26,-1.0000,-1.0000,465.42,144,41,-1,N/A
19313,614.8,17.03,-1.00,1.63,-1.0000,-1.0000,465.50,144,41,-1,N/A
19563,659.2,14.57,-1.00,1.52,-1.0000,-1.0000,465.59,152,44,-1,N/A
19814,700.5,19.24,-1.00,1.43,-1.0000,-1.0000,465.67,152,44,-1,N/A
20064,681.8,15.63,-1.00,1.47,-1.0000,-1.0000,465.75,152,44,-1,N/A
20314,744.3,18.16,-1.00,1.34,-1.0000,-1.0000,465.83,152,44,-1,N/A
20565,726.3,15.05,-1.00,1.38,-1.0000,-1.0000,465.91,152,44,-1,N/A
20815,757.2,15.14,-1.00,1.32,-1.0000,-1.0000,465.99,152,44,-1,N/A
21066,704.5,20.78,-1.00,1.42,-1.0000,-1.0000,466.06,152,44,-1,N/A
21317,691.1,15.03,-1.00,1.45,-1.0000,-1.0000,466.13,152,44,-1,N/A
21568,641.6,17.18,-1.00,1.56,-1.0000,-1.0000,466.20,144,41,-1,N/A
21818,613.2,13.47,-1.00,1.63,-1.0000,-1.0000,466.27,144,41,-1,N/A
22069,622.4,18.13,-1.00,1.61,-1.0000,-1.0000,466.34,144,41,-1,N/A
22321,548.3,15.52,-1.00,1.82,-1.0000,-1.0000,466.41,152,44,-1,N/A
22571,721.4,19.31,-1.00,1.39,-1.0000,-1.0000,466.48,152,44,-1,N/A
22822,724.5,17.11,-1.00,1.38,-1.0000,-1.0000,466.55,152,44,-1,N/A
23072,710.8,19.21,-1.00,1.41,-1.0000,-1.0000,466.63,152,44,-1,N/A
23323,587.9,16.60,-1.00,1.70,-1.0000,-1.0000,466.71,152,44,-1,N/A
23574,605.5,21.27,-1.00,1.65,-1.0000,-1.0000,466.79,152,44,-1,N/A
23825,691.8,13.55,-1.00,1.45,-1.0000,-1.0000,466.87,152,44,-1,N/A
24075,641.2,18.66,-1.00,1.56,-1.0000,-1.0000,466.95,152,44,-1,N/A
24326,731.0,20.34,-1.00,1.37,-1.0000,-1.0000,467.03,144,41,-1,N/A
24577,655.7,20.74,-1.00,1.53,-1.0000,-1.0000,467.12,144,41,-1,N/A
24828,660.2,14.49,-1.00,1.51,-1.0000,-1.0000,467.20,144,41,-1,N/A
25084,111.5,14.72,-1.00,8.97,-1.0000,-1.0000,467.04,153,43,-1,N/A
25335,768.6,13.49,-1.00,1.30,-1.0000,-1.0000,467.11,153,43,-1,N/A
25586,465.0,14.59,-1.00,2.15,-1.0000,-1.0000,467.18,153,43,-1,N/A
25836,695.4,15.57,-1.00,1.44,-1.0000,-1.0000,467.24,153,43,-1,N/A
