timestamp,fps,cpu_usage,gpu_usage,frame_time_ms,process_time,physics_time,memory_mb,object_count,node_count,draw_calls,latency_ms
28645,2.5,6.26,-1.00,393.97,-1.0000,-1.0000,489.61,36888,2841,-1,N/A
28795,0.9,5.23,-1.00,1053.93,-1.0000,-1.0000,518.98,36897,2841,-1,N/A
29047,218.2,3.10,-1.00,4.58,-1.0000,-1.0000,519.57,36897,2841,-1,N/A
29303,146.5,2.67,-1.00,6.83,-1.0000,-1.0000,519.70,36898,2841,-1,N/A
29555,234.1,2.70,-1.00,4.27,-1.0000,-1.0000,519.73,36899,2841,-1,N/A
29806,121.9,3.89,-1.00,8.20,-1.0000,-1.0000,493.01,36903,2841,-1,N/A
30059,209.3,4.25,-1.00,4.78,-1.0000,-1.0000,493.01,36904,2841,-1,N/A
30309,209.2,4.30,-1.00,4.78,-1.0000,-1.0000,493.04,36905,2841,-1,N/A
30565,122.2,2.67,-1.00,8.18,-1.0000,-1.0000,493.07,36905,2841,-1,N/A
30817,58.9,1.55,-1.00,16.98,-1.0000,-1.0000,493.09,36906,2841,-1,N/A
31067,130.5,1.17,-1.00,7.66,-1.0000,-1.0000,493.12,36908,2841,-1,N/A
31324,145.0,2.67,-1.00,6.90,-1.0000,-1.0000,493.15,36909,2841,-1,N/A
31576,189.0,3.48,-1.00,5.29,-1.0000,-1.0000,493.17,36909,2841,-1,N/A
31829,226.9,2.32,-1.00,4.41,-1.0000,-1.0000,493.20,36909,2841,-1,N/A
32084,170.0,2.67,-1.00,5.88,-1.0000,-1.0000,493.23,36909,2841,-1,N/A
32335,188.4,3.11,-1.00,5.31,-1.0000,-1.0000,493.26,36909,2841,-1,N/A
32585,129.7,1.18,-1.00,7.71,-1.0000,-1.0000,493.29,36909,2841,-1,N/A
32836,257.9,2.32,-1.00,3.88,-1.0000,-1.0000,493.32,36909,2841,-1,N/A
33086,246.0,4.31,-1.00,4.06,-1.0000,-1.0000,493.35,36909,2841,-1,N/A
33341,190.3,3.07,-1.00,5.26,-1.0000,-1.0000,493.39,36909,2841,-1,N/A
33594,230.4,4.24,-1.00,4.34,-1.0000,-1.0000,493.43,36909,2841,-1,N/A
