timestamp,fps,cpu_usage,gpu_usage,frame_time_ms,process_time,physics_time,memory_mb,object_count,node_count,draw_calls,latency_ms
12380,2.3,9.84,-1.00,440.98,-1.0000,-1.0000,447.55,11753,73,-1,1.2
12614,511.2,15.55,-1.00,1.96,-1.0000,-1.0000,442.89,11750,73,-1,0.9
12865,602.5,18.17,-1.00,1.66,-1.0000,-1.0000,442.96,11750,73,-1,0.9
13116,655.7,18.13,-1.00,1.53,-1.0000,-1.0000,443.03,11750,73,-1,0.8
13678,2.8,11.13,-1.00,352.69,-1.0000,-1.0000,478.51,11750,73,-1,0.7
13927,685.4,11.99,-1.00,1.46,-1.0000,-1.0000,478.58,11750,73,-1,0.7
14178,639.8,16.64,-1.00,1.56,-1.0000,-1.0000,478.65,11750,73,-1,0.6
14428,622.9,18.22,-1.00,1.61,-1.0000,-1.0000,478.72,11750,73,-1,0.6
14679,647.7,15.58,-1.00,1.54,-1.0000,-1.0000,478.80,11750,73,-1,0.5
14930,647.8,12.98,-1.00,1.54,-1.0000,-1.0000,478.86,11750,73,-1,0.5
15180,654.7,14.08,-1.00,1.53,-1.0000,-1.0000,478.93,11750,73,-1,0.5
15430,671.0,15.09,-1.00,1.49,-1.0000,-1.0000,479.01,11750,73,-1,0.5
15680,664.5,22.82,-1.00,1.51,-1.0000,-1.0000,479.16,11750,73,-1,0.4
15931,642.2,17.73,-1.00,1.56,-1.0000,-1.0000,479.23,11750,73,-1,0.4
16181,670.5,15.57,-1.00,1.49,-1.0000,-1.0000,479.30,11750,73,-1,0.4
16432,734.1,15.05,-1.00,1.36,-1.0000,-1.0000,479.37,11750,73,-1,0.4
16683,528.2,17.13,-1.00,1.89,-1.0000,-1.0000,479.45,11750,73,-1,0.4
16934,631.3,13.45,-1.00,1.58,-1.0000,-1.0000,479.52,11750,73,-1,0.4
17185,324.8,12.99,-1.00,3.08,-1.0000,-1.0000,479.58,11750,73,-1,0.3
17436,516.6,19.72,-1.00,1.94,-1.0000,-1.0000,479.62,11750,73,-1,0.3
17687,528.4,15.61,-1.00,1.89,-1.0000,-1.0000,479.68,11750,73,-1,0.3
17937,673.0,20.79,-1.00,1.49,-1.0000,-1.0000,479.74,11750,73,-1,0.3
